id,name,email,country,region,loyalty_tier,carbon_offset_opt_in
73,Madison Martinez,allentracy@example.com,UNITED KINGDOM,EUROPE,SILVER,TRUE
74,Seth Matthews,max41@example.com,UNITED STATES,AMERICA,GREEN,FALSE
75,Anthony Nash,mercedesholland@example.net,CANADA,AMERICA,NONE,FALSE
76,Matthew Palmer,wellsdavid@example.org,UNITED STATES,AMERICA,NONE,TRUE
77,Alejandra King,jennifer46@example.com,CANADA,AMERICA,GREEN,TRUE
78,Judy Robinson,erica96@example.net,JAPAN,ASIA,SILVER,TRUE
79,Jorge Bates,anna99@example.com,GERMANY,EUROPE,GREEN,FALSE
80,Brian Brown,danielle44@example.net,FRANCE,EUROPE,NONE,TRUE
81,Stephanie Evans,zacharyallen@example.org,UNITED STATES,AMERICA,NONE,FALSE
82,Rebekah Greene,erin07@example.com,GERMANY,EUROPE,GREEN,TRUE
83,Jason Price,aguilarwanda@example.org,CANADA,AMERICA,SILVER,TRUE
84,Micheal Parks,qknox@example.com,UNITED STATES,AMERICA,NONE,TRUE
85,Sarah Pittman,kellyruiz@example.net,FRANCE,EUROPE,NONE,FALSE
86,Robert Hines,staceylam@example.net,AUSTRALIA,APAC,NONE,FALSE
87,Henry Garner,robert55@example.com,JAPAN,ASIA,GREEN,TRUE
88,Julie Wilson,delacruzbrandy@example.net,UNITED KINGDOM,EUROPE,GOLD,FALSE
89,Steve Mason,amoreno@example.org,UNITED STATES,AMERICA,GREEN,TRUE
90,Brittany Gay,robert97@example.org,UNITED STATES,AMERICA,GREEN,FALSE
91,Mike Maxwell,lcook@example.com,UNITED KINGDOM,EUROPE,GOLD,FALSE
92,Abigail Hill,barbaramoore@example.org,UNITED STATES,AMERICA,SILVER,FALSE
93,Jeffrey Jordan,ysanford@example.org,NETHERLANDS,EUROPE,GOLD,FALSE
94,Curtis Watson,mcclainkatherine@example.net,NETHERLANDS,EUROPE,NONE,TRUE
95,Michael Sims,jeremywiley@example.com,UNITED STATES,AMERICA,NONE,FALSE
96,James Chapman,cameronwilliams@example.com,UNITED KINGDOM,EUROPE,GREEN,FALSE
97,Joseph Warren,ibarron@example.com,NETHERLANDS,EUROPE,NONE,TRUE
98,Katherine Christensen MD,osmith@example.net,SWEDEN,EUROPE,GREEN,TRUE
99,Mrs. Alison Wagner,richardsondebra@example.org,UNITED STATES,AMERICA,SILVER,FALSE
100,Martin Wise,wheelerbrandon@example.org,AUSTRALIA,APAC,GREEN,FALSE
101,Alicia Norris,hwallace@example.net,FRANCE,EUROPE,NONE,TRUE
102,Michael Harris,turnerdorothy@example.net,SPAIN,EUROPE,GREEN,FALSE
103,Lisa Haynes,grivas@example.net,GERMANY,EUROPE,GREEN,FALSE
104,Autumn Wilson,jimenezchelsea@example.com,UNITED KINGDOM,EUROPE,NONE,FALSE
105,Valerie Howard,cphillips@example.net,JAPAN,ASIA,NONE,TRUE
106,Daniel Fitzpatrick MD,smithchristopher@example.org,GERMANY,EUROPE,GREEN,TRUE
107,Maureen Hernandez,chancharles@example.net,AUSTRALIA,APAC,GREEN,TRUE
108,David Hall,joseph01@example.org,NETHERLANDS,EUROPE,GOLD,FALSE
109,Sarah Ward,ronald11@example.org,NETHERLANDS,EUROPE,NONE,TRUE
110,Charles Holland,michael79@example.com,JAPAN,ASIA,GREEN,FALSE
111,Anna Briggs,danielross@example.com,UNITED KINGDOM,EUROPE,GREEN,FALSE
112,James Jefferson,zbanks@example.org,CANADA,AMERICA,GREEN,FALSE
113,Michael Brown,dalepruitt@example.com,UNITED STATES,AMERICA,NONE,TRUE
114,Meghan White,nmaxwell@example.org,UNITED STATES,AMERICA,NONE,FALSE
115,Sheryl Acosta,timothyfreeman@example.com,UNITED KINGDOM,EUROPE,NONE,FALSE
116,Arthur Pena,busherica@example.net,GERMANY,EUROPE,NONE,FALSE
117,Krystal Levine,april91@example.com,UNITED STATES,AMERICA,SILVER,TRUE
118,Danielle Reed,jhernandez@example.net,UNITED STATES,AMERICA,NONE,FALSE
119,Mason Moore,kchristian@example.org,UNITED STATES,AMERICA,NONE,TRUE
120,Erica Rivera,brent38@example.net,AUSTRALIA,APAC,NONE,FALSE
121,Robert Miller,csolis@example.org,GERMANY,EUROPE,GOLD,TRUE
122,Jillian Wilson,bmcgee@example.org,UNITED STATES,AMERICA,NONE,FALSE
123,Andrew Dunn,connersylvia@example.net,UNITED KINGDOM,EUROPE,GREEN,FALSE
124,Jordan Clark,xclements@example.org,FRANCE,EUROPE,SILVER,FALSE
125,Sarah Rivera,xmoran@example.net,FRANCE,EUROPE,NONE,TRUE
126,Brent Hopkins,petersonmaria@example.com,UNITED STATES,AMERICA,SILVER,TRUE
127,Jacqueline Rodriguez,travisunderwood@example.net,UNITED STATES,AMERICA,NONE,TRUE
128,Ashley Carr,davidphelps@example.org,UNITED STATES,AMERICA,GOLD,FALSE
129,Richard Love,shermanbrandon@example.net,FRANCE,EUROPE,NONE,FALSE
130,Leah Barton,lellis@example.net,FRANCE,EUROPE,GOLD,TRUE
131,Jonathan Moreno,tranryan@example.net,FRANCE,EUROPE,NONE,FALSE
132,Mr. Thomas Thompson,jessicaanderson@example.com,GERMANY,EUROPE,GOLD,FALSE
133,Lisa Morris,mbarnes@example.net,NETHERLANDS,EUROPE,NONE,FALSE
134,Denise Stuart,shawn22@example.com,SWEDEN,EUROPE,NONE,FALSE
135,Stacey Hunt,jennifer83@example.org,FRANCE,EUROPE,GOLD,TRUE
136,Miguel Parks,tinasantos@example.org,UNITED STATES,AMERICA,GREEN,TRUE
137,Melissa Morris,hodgesanna@example.net,GERMANY,EUROPE,GREEN,FALSE
138,Mary Butler,natalie60@example.net,UNITED KINGDOM,EUROPE,NONE,TRUE
139,James Brown,gonzalezkaren@example.org,SPAIN,EUROPE,NONE,FALSE
140,Miss Brianna Brown,james80@example.com,UNITED KINGDOM,EUROPE,GREEN,TRUE
141,Ashley Parrish,juliahoffman@example.org,NETHERLANDS,EUROPE,NONE,FALSE
142,Rebecca Horton,housepaul@example.net,UNITED STATES,AMERICA,NONE,FALSE
143,Juan Smith,james73@example.net,UNITED STATES,AMERICA,NONE,FALSE
144,Maria Fischer,kimberlybrandt@example.com,CANADA,AMERICA,NONE,TRUE
145,William Jones,jillwilson@example.org,UNITED KINGDOM,EUROPE,NONE,TRUE
146,Justin Anderson,adam72@example.org,UNITED STATES,AMERICA,GREEN,TRUE
147,Frank Williams,tracy98@example.com,UNITED STATES,AMERICA,GOLD,TRUE
148,Michael Fox,abigailhartman@example.org,AUSTRALIA,APAC,NONE,FALSE
149,Joshua Davis,nicolealvarado@example.com,FRANCE,EUROPE,NONE,TRUE
150,Daniel Goodwin,wbarajas@example.net,UNITED STATES,AMERICA,NONE,FALSE
151,Michael Griffin,susanfleming@example.com,UNITED STATES,AMERICA,NONE,FALSE
152,Robert Wilson,amber40@example.net,UNITED STATES,AMERICA,NONE,FALSE
153,Jaime Lang,stucker@example.net,JAPAN,ASIA,NONE,TRUE
154,Jose Vaughan,teresaayala@example.net,FRANCE,EUROPE,SILVER,FALSE
155,Austin Santiago,michellecoleman@example.org,FRANCE,EUROPE,NONE,FALSE
156,Ronald Johns,elucas@example.net,UNITED KINGDOM,EUROPE,GREEN,TRUE
157,Allison Love,millerbrian@example.com,UNITED KINGDOM,EUROPE,NONE,FALSE
158,Laura Perez,rickey76@example.com,NETHERLANDS,EUROPE,GREEN,FALSE
159,James Wilson,maychristine@example.net,UNITED KINGDOM,EUROPE,NONE,TRUE
160,Mercedes Jones,robertsgina@example.net,CANADA,AMERICA,GOLD,FALSE
161,Preston Kim,bshort@example.com,AUSTRALIA,APAC,NONE,TRUE
162,Daniel Francis,susan24@example.net,AUSTRALIA,APAC,NONE,TRUE
163,Traci Camacho,susan08@example.net,UNITED STATES,AMERICA,GREEN,TRUE
164,Andrew Armstrong,fmedina@example.com,AUSTRALIA,APAC,GREEN,FALSE
165,Patrick Swanson,robertbrewer@example.net,UNITED STATES,AMERICA,NONE,FALSE
166,Clinton Jensen,james29@example.org,UNITED KINGDOM,EUROPE,NONE,FALSE
167,Tara Gamble,enewman@example.com,UNITED STATES,AMERICA,NONE,TRUE
168,Danielle Gonzalez,wlynn@example.org,AUSTRALIA,APAC,NONE,FALSE
169,Cynthia Mitchell,mcculloughlouis@example.com,FRANCE,EUROPE,NONE,FALSE
170,Matthew Steele,arianadiaz@example.com,FRANCE,EUROPE,NONE,FALSE
171,Caroline Edwards,jenniferdavidson@example.com,UNITED KINGDOM,EUROPE,NONE,FALSE
172,Brandy Quinn,wford@example.com,UNITED STATES,AMERICA,GREEN,TRUE
173,Mr. Matthew Miller,michele28@example.org,GERMANY,EUROPE,SILVER,TRUE
174,Stephen Jones,mcclainmelissa@example.net,UNITED KINGDOM,EUROPE,GOLD,TRUE
175,Kevin Sullivan,rebeccaarnold@example.net,UNITED STATES,AMERICA,NONE,FALSE
176,Kimberly Valdez,michaelwalker@example.net,AUSTRALIA,APAC,SILVER,FALSE
177,Donna Marshall,sanderswayne@example.net,UNITED KINGDOM,EUROPE,NONE,FALSE
178,Victor Holden,katherinetaylor@example.org,UNITED STATES,AMERICA,NONE,FALSE
179,Travis Hopkins,jillwebb@example.com,FRANCE,EUROPE,GREEN,TRUE
180,Philip Hall,mike03@example.net,UNITED STATES,AMERICA,NONE,TRUE
181,Heather Harrison,ckeith@example.net,UNITED STATES,AMERICA,NONE,FALSE
182,Michael Boyd,mary49@example.net,SPAIN,EUROPE,NONE,TRUE
183,Jamie Gray,blacknicholas@example.org,GERMANY,EUROPE,NONE,TRUE
184,Heather Parrish,msparks@example.org,JAPAN,ASIA,GOLD,FALSE
185,Brenda Martin,robertsonjuan@example.org,UNITED KINGDOM,EUROPE,GREEN,FALSE
186,Jack Love,guerrerorobert@example.com,GERMANY,EUROPE,NONE,TRUE
187,Karen Mendoza,brittanyholland@example.com,AUSTRALIA,APAC,NONE,FALSE
188,Andrew Berry,dennishunt@example.net,AUSTRALIA,APAC,NONE,FALSE
189,Christopher Nielsen,kgreene@example.net,UNITED STATES,AMERICA,GREEN,FALSE
190,Nathan Stanley,stacey37@example.net,UNITED STATES,AMERICA,NONE,FALSE
191,Sharon Jackson DVM,laurahoover@example.org,GERMANY,EUROPE,NONE,TRUE
192,Kayla Jackson,sandra99@example.org,GERMANY,EUROPE,GREEN,TRUE
193,James Rodriguez,alexandrablankenship@example.net,JAPAN,ASIA,NONE,TRUE
194,Chase Davis,mvalenzuela@example.org,NETHERLANDS,EUROPE,GREEN,FALSE
195,Kim Goodwin,olsondavid@example.net,FRANCE,EUROPE,GOLD,FALSE
196,April Pace,xboyd@example.org,AUSTRALIA,APAC,SILVER,TRUE
197,Jessica Mays,yclarke@example.com,GERMANY,EUROPE,GREEN,FALSE
198,Natalie Juarez,colemanjonathan@example.org,UNITED STATES,AMERICA,GOLD,FALSE
199,Angela George,ascott@example.net,FRANCE,EUROPE,GREEN,FALSE
200,Adrienne Mills,brooksjamie@example.com,UNITED KINGDOM,EUROPE,SILVER,TRUE
201,Brian Simmons,jose86@example.net,JAPAN,ASIA,NONE,FALSE
202,Donald Becker,robertbowers@example.com,JAPAN,ASIA,NONE,TRUE
203,Justin Webb,becky62@example.net,NETHERLANDS,EUROPE,NONE,TRUE
204,David Logan,craigromero@example.com,JAPAN,ASIA,NONE,FALSE
205,Lisa Cohen,martintamara@example.org,SPAIN,EUROPE,NONE,TRUE
206,Samantha Ruiz,qdavis@example.org,UNITED STATES,AMERICA,GREEN,FALSE
207,Lee Ramsey,hmendez@example.com,AUSTRALIA,APAC,SILVER,TRUE
208,Linda Bautista,daniellegonzales@example.org,FRANCE,EUROPE,NONE,TRUE
209,Tara Holmes,arthurgreene@example.net,UNITED STATES,AMERICA,GREEN,TRUE
210,Lisa Craig,john02@example.org,NETHERLANDS,EUROPE,NONE,FALSE
211,Penny Gomez MD,aprilmclaughlin@example.org,AUSTRALIA,APAC,GREEN,TRUE
212,Krista Barber,michael43@example.net,GERMANY,EUROPE,SILVER,FALSE
213,Jordan Powell,greenrichard@example.org,UNITED KINGDOM,EUROPE,SILVER,FALSE
214,Kathy Morgan,prattsue@example.net,UNITED STATES,AMERICA,GREEN,TRUE
215,Laura Benson,xhart@example.org,SWEDEN,EUROPE,GREEN,FALSE
216,Tonya Ellis,bmosley@example.com,GERMANY,EUROPE,GREEN,FALSE
217,Austin Schultz,ericahall@example.com,UNITED STATES,AMERICA,NONE,TRUE
218,Harry Nichols,john16@example.net,CANADA,AMERICA,NONE,FALSE
219,Gloria Spencer,thomasgomez@example.net,UNITED KINGDOM,EUROPE,GOLD,FALSE
220,Travis Vega,victorgonzalez@example.net,SPAIN,EUROPE,NONE,FALSE
221,Derek Perez,marykelly@example.org,UNITED KINGDOM,EUROPE,NONE,TRUE
222,Blake Sosa,waustin@example.net,CANADA,AMERICA,SILVER,FALSE
223,Sarah Watson,travis94@example.com,SPAIN,EUROPE,SILVER,TRUE
224,Phillip Dixon,kwalker@example.org,UNITED STATES,AMERICA,NONE,FALSE
225,Robert Mendoza,shawphillip@example.net,FRANCE,EUROPE,NONE,TRUE
226,Joyce Martinez,astewart@example.org,UNITED STATES,AMERICA,NONE,TRUE
227,Jamie Garcia,chloe42@example.net,GERMANY,EUROPE,GOLD,TRUE
228,Derrick Mullen,michael76@example.org,NETHERLANDS,EUROPE,NONE,TRUE
229,Paul Diaz,lramirez@example.net,CANADA,AMERICA,NONE,FALSE
230,Kenneth Perez,lelinda@example.net,UNITED STATES,AMERICA,NONE,TRUE
231,James Thomas,thomassmith@example.com,UNITED KINGDOM,EUROPE,GREEN,FALSE
232,Dr. Samuel Holmes DDS,jevans@example.net,AUSTRALIA,APAC,NONE,TRUE
233,Brett Martin,lisawoods@example.net,UNITED STATES,AMERICA,NONE,TRUE
234,Patrick Green,ann45@example.org,UNITED STATES,AMERICA,NONE,TRUE
235,Gregory Frazier,barbarasantos@example.net,GERMANY,EUROPE,GOLD,TRUE
236,Richard Kelly,champton@example.org,AUSTRALIA,APAC,NONE,TRUE
237,Dustin Welch,mirandadavidson@example.com,GERMANY,EUROPE,GREEN,TRUE
238,Logan Sullivan,millermatthew@example.com,UNITED KINGDOM,EUROPE,NONE,TRUE
239,Eddie Adams,cnelson@example.com,UNITED STATES,AMERICA,NONE,FALSE
240,Kelly Cole,ivanjohnson@example.net,UNITED KINGDOM,EUROPE,NONE,TRUE
241,David Manning,clarkrandy@example.org,FRANCE,EUROPE,NONE,FALSE
242,Shawn Kelley,wisealexandria@example.org,CANADA,AMERICA,SILVER,TRUE
243,Luke Miller,pparker@example.net,SPAIN,EUROPE,NONE,TRUE
244,Mark Anderson,anthonyalvarado@example.com,UNITED STATES,AMERICA,GREEN,TRUE
245,Julie Pitts,amy28@example.org,UNITED STATES,AMERICA,GREEN,FALSE
246,Joyce Curry,omills@example.net,JAPAN,ASIA,SILVER,TRUE
247,Gregory Fernandez,ramosmichael@example.com,UNITED STATES,AMERICA,GREEN,TRUE
248,Adam Mills,mauriceharrison@example.org,UNITED KINGDOM,EUROPE,GREEN,TRUE
249,Katherine Campos,albert64@example.net,JAPAN,ASIA,NONE,FALSE
250,Adam Brooks,bkhan@example.com,CANADA,AMERICA,GOLD,FALSE
251,Miguel Brewer,fwalker@example.com,UNITED STATES,AMERICA,GREEN,FALSE
252,Kellie Marsh,justin84@example.com,FRANCE,EUROPE,SILVER,FALSE
253,Barry Taylor,walshchristine@example.com,FRANCE,EUROPE,NONE,FALSE
254,Katherine Flores,brandonnichols@example.org,UNITED STATES,AMERICA,NONE,TRUE
255,Diane Martinez,oacosta@example.org,JAPAN,ASIA,SILVER,FALSE
256,Johnny Peterson,kristi75@example.com,UNITED KINGDOM,EUROPE,GOLD,TRUE
257,Amanda Miller,brianrowe@example.org,GERMANY,EUROPE,SILVER,TRUE
258,Catherine Huang,lisa01@example.net,AUSTRALIA,APAC,NONE,FALSE
259,Ray Ramos,gonzalezjill@example.org,GERMANY,EUROPE,NONE,TRUE
260,Vickie Kennedy,sharon20@example.net,UNITED KINGDOM,EUROPE,GOLD,FALSE
261,Kelly King,james03@example.org,UNITED STATES,AMERICA,SILVER,FALSE
262,Jeffrey Smith,brenda63@example.org,NETHERLANDS,EUROPE,NONE,FALSE
263,Lauren Vazquez,nathandavis@example.org,CANADA,AMERICA,GREEN,FALSE
264,Mr. George Booker DDS,browndeanna@example.net,GERMANY,EUROPE,GREEN,FALSE
265,Ashley Freeman,tina57@example.net,UNITED STATES,AMERICA,NONE,FALSE
266,Michael Howard,johnwilliams@example.net,UNITED STATES,AMERICA,NONE,FALSE
267,Edward Terry,ashleystephens@example.com,NETHERLANDS,EUROPE,GREEN,TRUE
268,Denise Guerra,caseymoore@example.com,GERMANY,EUROPE,NONE,FALSE
269,Kimberly Gibson,bgross@example.net,UNITED STATES,AMERICA,NONE,TRUE
270,Patty Allen,barrettamber@example.com,UNITED KINGDOM,EUROPE,NONE,FALSE
271,Michael Cannon,chloemorris@example.net,JAPAN,ASIA,NONE,FALSE
272,Brent Hopkins,conleydavid@example.org,JAPAN,ASIA,NONE,FALSE
273,John Garcia,hbarrett@example.net,UNITED STATES,AMERICA,SILVER,FALSE
274,Dawn Diaz,smithsamantha@example.net,AUSTRALIA,APAC,NONE,FALSE
275,Steve Miller PhD,wardjulia@example.com,AUSTRALIA,APAC,GOLD,TRUE
276,Rebecca Brown,allison14@example.org,GERMANY,EUROPE,GREEN,TRUE
277,Toni Davis,amandalopez@example.net,FRANCE,EUROPE,NONE,TRUE
278,Laura Meza,xreese@example.net,UNITED STATES,AMERICA,SILVER,TRUE
279,Megan Park,kandrade@example.org,NETHERLANDS,EUROPE,GOLD,TRUE
280,Kathy Sandoval,umahoney@example.net,UNITED STATES,AMERICA,GREEN,FALSE
281,Erika Watson PhD,umckenzie@example.net,UNITED STATES,AMERICA,NONE,TRUE
282,Joshua Brooks,michael77@example.com,GERMANY,EUROPE,NONE,FALSE
283,Andrew Mitchell,holmesvictoria@example.com,GERMANY,EUROPE,NONE,FALSE
284,William Lewis,andrew48@example.net,UNITED STATES,AMERICA,SILVER,FALSE
285,Tammy Moore,stevenseric@example.com,NETHERLANDS,EUROPE,SILVER,TRUE
286,Kevin Hall,christopher69@example.org,UNITED STATES,AMERICA,NONE,FALSE
287,Misty Mcguire,tracynolan@example.net,FRANCE,EUROPE,GREEN,FALSE
288,Susan Larson,benjamin96@example.org,NETHERLANDS,EUROPE,NONE,FALSE
289,Tammy Cook,hbutler@example.org,GERMANY,EUROPE,NONE,TRUE
290,Sarah Mcfarland,hbrown@example.org,UNITED STATES,AMERICA,NONE,TRUE
291,Karl Murphy,ericnunez@example.com,UNITED STATES,AMERICA,NONE,TRUE
292,Nicole Johnston,walkerkeith@example.com,UNITED STATES,AMERICA,GREEN,TRUE
293,George Alvarez,kelleyjose@example.com,AUSTRALIA,APAC,GREEN,FALSE
294,Patricia Anderson,timothygonzalez@example.com,UNITED STATES,AMERICA,GREEN,FALSE
295,Christina Gilbert,johnadams@example.com,FRANCE,EUROPE,SILVER,TRUE
296,Thomas Davis,whenderson@example.org,CANADA,AMERICA,NONE,FALSE
297,Kirk Johnson,gary59@example.com,UNITED STATES,AMERICA,GREEN,FALSE
298,Jessica Glass,jamesbrooks@example.net,FRANCE,EUROPE,NONE,FALSE
299,Ashley Brown,mistywilkins@example.org,UNITED STATES,AMERICA,GREEN,TRUE
300,Robert Torres,njohnson@example.net,FRANCE,EUROPE,NONE,FALSE
301,Christina Mills,ana92@example.net,GERMANY,EUROPE,NONE,TRUE
302,Alicia Aguilar,scottbrian@example.org,JAPAN,ASIA,NONE,TRUE
303,Lisa Brown,jonesdonna@example.net,GERMANY,EUROPE,GREEN,TRUE
304,Mary Lin,carternicole@example.com,GERMANY,EUROPE,NONE,FALSE
305,James Bray,mckeetodd@example.net,UNITED KINGDOM,EUROPE,NONE,TRUE
306,Charlotte Mason,tcastro@example.org,UNITED STATES,AMERICA,NONE,FALSE
307,Thomas Torres,klong@example.org,JAPAN,ASIA,NONE,TRUE
308,Harold Garrett,wendyirwin@example.com,UNITED STATES,AMERICA,NONE,FALSE
309,Lori Johns,raymondstacy@example.org,UNITED STATES,AMERICA,NONE,TRUE
310,Steven Sandoval,blairabigail@example.net,FRANCE,EUROPE,NONE,TRUE
311,Lori Perez,ashleysimmons@example.com,AUSTRALIA,APAC,NONE,FALSE
312,Erin Daniels,denisecarpenter@example.net,GERMANY,EUROPE,NONE,TRUE
313,Shari Parker,russellstout@example.org,JAPAN,ASIA,GREEN,FALSE
314,Krystal Moore,grantstacy@example.org,CANADA,AMERICA,GOLD,FALSE
315,Ryan Thomas,cannonnicole@example.com,AUSTRALIA,APAC,GREEN,TRUE
316,Elizabeth Reese,edwin31@example.org,UNITED KINGDOM,EUROPE,SILVER,FALSE
317,Phillip Salazar,catherine93@example.net,FRANCE,EUROPE,GREEN,TRUE
318,Michael Howard,manderson@example.com,JAPAN,ASIA,GREEN,FALSE
319,Jacqueline Christian,kwells@example.org,UNITED STATES,AMERICA,NONE,FALSE
320,Jason Novak,stephanie33@example.org,UNITED STATES,AMERICA,NONE,TRUE
321,Timothy Duke,dwatts@example.org,GERMANY,EUROPE,NONE,FALSE
322,Ricardo Franklin,zcortez@example.net,UNITED STATES,AMERICA,GREEN,TRUE
323,Laura Herrera,meyershannon@example.org,UNITED KINGDOM,EUROPE,NONE,FALSE
324,Danielle Medina,grantzachary@example.net,FRANCE,EUROPE,SILVER,FALSE
